BOROUGH,HOPE Area,Team Number,Needs NYPD?,Hard to Reach,Park,Station,Route,End of Line,Precinct,Training Site,
X,337,9,YES,,,,,,40,Hostos
X,358,9,YES,,,,,,40,Hostos
X,360,7,,,,,,,40,Hostos
X,365,9,YES,,,,,,40,Hostos
X,368,7,,,,,,,40,Hostos
X,372,6,YES,,,,,,40,Hostos
X,373,6,,,,,,,40,Hostos
X,374,6,,,,,,,40,Hostos
X,376,7,YES,,,,,,40,Hostos
X,378,6,YES,,,,,,40,Hostos
X,481,9,YES,,,,,,40,Hostos
X,482,8,YES,,,,,,40,Hostos
X,483,8,YES,,,,,,40,Hostos
X,516,10,,,,,,,40,Hostos
X,518,10,,,,,,,40,Hostos
X,519,8,YES,,,,,,40,Hostos
X,520,15,,,,,,,40,Hostos
X,522,10,,,,,,,40,Hostos
X,523,11,,,,,,,40,Hostos
X,524,12,,,,,,,40,Hostos
T,375,7,,,,Cypress Av,6,,40,Hostos
T,376,7,,,,Brook Av,6,,40,Hostos
T,390,15,,,,149 St - Grand Concourse,4,,40,Hostos
T,391,10,,,,138 St - Grand Concourse,4-5,,40,Hostos
T,435,15,,,,149 St - Grand Concourse,2-5,,40,Hostos
X,317,1,,,,,,,41,Hostos
X,320,1,,,,,,,41,Hostos
X,324,4,,,,,,,41,Hostos
X,328,1,,,,,,,41,Hostos
X,341,1,YES,,,,,,41,Hostos
X,344,3,,,,,,,41,Hostos
X,345,3,,,,,,,41,Hostos
X,346,2,,,,,,,41,Hostos
X,350,2,,,,,,,41,Hostos
X,484,4,YES,,,,,,41,Hostos
X,491,5,,,,,,,41,Hostos
X,510,HTR,HTR,1,,,,,41,Hostos
X,464,19,YES,,,,,,44,Hostos
X,467,18,YES,,,,,,44,Hostos
X,468,17,YES,,,,,,44,Hostos
X,469,18,YES,,,,,,44,Hostos
X,470,18,YES,,,,,,44,Hostos
X,472,17,YES,,,,,,44,Hostos
X,473,17,YES,,,,,,44,Hostos
X,477,16,,,,,,,44,Hostos
X,525,15,,,,,,,44,Hostos
X,526,15,,,,,,,44,Hostos
X,527,16,,,,,,,44,Hostos
X,528,16,,,,,,,44,Hostos
X,529,12,,,,,,,44,Hostos
X,530,12,,,,,,,44,Hostos
X,532,14,,,,,,,44,Hostos
X,535,19,YES,,,,,,44,Hostos
X,537,19,,,,,,,44,Hostos
X,538,14,,,1,,,,44,Hostos
X,542,20,,,,,,,44,Hostos
X,546,11,,,,,,,44,Hostos
X,548,11,,,,,,,44,Hostos
X,550,20,,,,,,,44,Hostos
X,551,13,YES,,,,,,44,Hostos
X,553,13,YES,,,,,,44,Hostos
X,743,13,,,,,,,44,Hostos
